time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance,position_covariance_type
2022/03/21/14:41:00.818915,31799,1647841260,699968301,gps,2,1,37.3652362,126.7244173,33.382,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:00.918460,31800,1647841260,799968277,gps,2,1,37.3652311,126.7244125,33.386,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:01.016858,31801,1647841260,899968253,gps,2,1,37.365226,126.7244078,33.39,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:01.123849,31802,1647841260,999968230,gps,2,1,37.365221,126.724403,33.392,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:01.221848,31803,1647841261,99968205,gps,2,1,37.3652159,126.7243983,33.396,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:01.316964,31804,1647841261,199968181,gps,2,1,37.3652109,126.7243936,33.398,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:01.413097,31805,1647841261,299968157,gps,2,1,37.3652059,126.7243889,33.398,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:01.519818,31806,1647841261,399968133,gps,2,1,37.3652009,126.7243841,33.402,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:01.623033,31807,1647841261,499968110,gps,2,1,37.3651959,126.7243794,33.405,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:01.717946,31808,1647841261,599968086,gps,2,1,37.3651908,126.7243748,33.411,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
